Network,Number of Swaps,PC1 Variance,Influence Team Strength,Total Number of Swaps,Number of PCs
GON_060_02,30,0.3783607335655127,0.0378419005482435,60,6
GON_060_03,30,0.3604217960468309,0.0161168035962097,60,6
GON_060_04,30,0.3478254654801653,0.0274711242384901,60,6
GON_060_05,30,0.3882303248625817,0.0342761685360469,60,7
GON_060_06,30,0.3749738123021895,0.028229160461954,60,7
GON_060_07,30,0.4417079545022851,0.0650292101037597,60,7
GON_060_08,30,0.3586146582851983,0.053948202168854,60,7
GON_060_09,30,0.5416456200472332,0.0406026762437876,60,7
GON_060_10,30,0.5308162503090267,0.030630033085262,60,7
GON_060_11,30,0.4777983533556364,0.0211103251656398,60,7
GON_060_12,30,0.3735676181665944,0.0220019264490618,60,7
GON_060_13,30,0.5510789313583168,0.0584954609797182,60,7
GON_060_14,30,0.4747873936798434,0.0404291897626323,60,8
GON_060_15,30,0.4782443459164719,0.0630503011060881,60,8
GON_060_16,30,0.4201391567353921,0.0533370801272097,60,8
GON_060_17,30,0.5511785941280061,0.0461866675204166,60,8
GON_060_18,30,0.423735783213506,0.028049021749058,60,8
GON_060_19,30,0.4545010646023957,0.0281254669362748,60,8
GON_060_20,30,0.3961381524007765,0.0449186996162403,60,7
GON_060_21,30,0.4363818143186344,0.0182625693566449,60,6
GON_060_22,30,0.4965068437502413,0.0243067418335662,60,7
GON_060_23,30,0.3344015949641932,0.0435240936894552,60,7
GON_060_24,30,0.4852988418007793,0.110918744663687,60,7
GON_060_25,30,0.7470464589338235,0.069674119199778,60,7
GON_060_26,30,0.5965840540342914,0.0729679929852537,60,7
GON_060_27,30,0.4881965476921788,0.0355644154681417,60,7
GON_060_28,30,0.3782157713284133,0.0137516310204277,60,7
GON_060_29,30,0.3768060178185802,0.0206340615422787,60,8
GON_060_30,30,0.6180711392955641,0.0527013004261405,60,8
GON_060_31,30,0.4580096919962544,0.0158729908006308,60,8
GON_060_32,30,0.5949339553364625,0.0437262542886654,60,6
GON_060_33,30,0.6022028754195468,0.1038867421997171,60,6
GON_060_34,30,0.4735032360505704,0.0599291621569424,60,6
GON_060_35,30,0.3687323729546563,0.033187600016992,60,8
GON_060_36,30,0.4413826000840621,0.0297236399662013,60,8
GON_060_37,30,0.5749324911491466,0.0565753399552528,60,8
GON_060_38,30,0.4242121647588126,0.0470570206956843,60,8
GON_060_39,30,0.6950431145963528,0.0763201754343811,60,7
GON_060_40,30,0.5748361595496418,0.0545425074531148,60,7
GON_060_41,30,0.6360226956037912,0.0326915365315912,60,8
